Number,Registration,Details,Product,MPG,Odometer,Distance,Unit,MPG with Platoon Operation
222,YJ16CTV,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,18.13,42827,8869,Miles,17.32
223,YJ16CSU,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,19.06,53939,16147,Miles,18.21
224,YJ16CSV,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,18.61,33025,8423,Miles,17.78
225,YJ16CUV,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,20.19,45654,13027,Miles,19.29
226,YJ16CSF,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,20.41,43207,10456,Miles,19.5
227,YJ16CSX,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,18.97,52332,12049,Miles,18.13
228,YJ16CPO,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,20.53,34330,9588,Miles,19.62
229,YJ16CRK,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,19.72,12182,3257,Miles,18.84
230,YJ66EAF,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,18.98,27229,9176,Miles,18.14
231,YJ66EAA,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,20.3,28652,11281,Miles,19.4
232,YJ66EAE,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,20.7,41199,14232,Miles,19.78
234,YJ66EAG,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,20.17,50248,16819,Miles,19.27
235,YJ66EAM,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,19.22,31431,11639,Miles,18.36
236,YJ66EAO,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,22.29,31032,10788,Miles,21.3
237,YJ66EAP,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,20.56,34673,11798,Miles,19.65
238,YJ66EAK,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,18.53,23339,8698,Miles,17.71
239,YJ66EBF,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,23.61,34990,13126,Miles,22.56
240,YJ66EBL,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,21.09,23393,7886,Miles,20.15
241,YJ66EBK,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,23.19,47440,18486,Miles,22.16
242,YJ66EBG,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,17.52,26072,10369,Miles,16.74
254,YE09BXG,Mercedes Sprinter 511 CDi Wel Welfare Bus,Diesel,19.22,123242,7841,Miles,18.36
